最速下降法:
第1次迭代：f(x_i)=7.711096854858360e-01, x_1=1.612591019188414e-01,x_2=0.000000000000000e+00
第1560次迭代：f(x_i)=2.109867253758262e-03, x_1=9.540702031804166e-01,x_2=9.101932941578048e-01
第1561次迭代：f(x_i)=2.105626840165071e-03, x_1=9.541878342227915e-01,x_2=9.102122721259002e-01
第1562次迭代：f(x_i)=2.101393131992353e-03, x_1=9.541625188487121e-01,x_2=9.103696806738416e-01
第1563次迭代：f(x_i)=2.097168806471607e-03, x_1=9.542799821027248e-01,x_2=9.103885826954693e-01
第1564次迭代：f(x_i)=2.092956604951035e-03, x_1=9.542546612494145e-01,x_2=9.105453380654052e-01
第1565次迭代：f(x_i)=2.088755794626782e-03, x_1=9.543718176669627e-01,x_2=9.105643237185793e-01
第1566次迭代：f(x_i)=2.084564585712296e-03, x_1=9.543464661024258e-01,x_2=9.107206593672366e-01
第1567次迭代：f(x_i)=2.080381908396815e-03, x_1=9.544633767721374e-01,x_2=9.107396106654784e-01
第1568次迭代：f(x_i)=2.076209710998478e-03, x_1=9.544380377823765e-01,x_2=9.108956377006222e-01
第1569次迭代：f(x_i)=2.072043543792678e-03, x_1=9.545546326162164e-01,x_2=9.109145057456509e-01
第1570次迭代：f(x_i)=2.067884760210930e-03, x_1=9.545294795333022e-01,x_2=9.110702664148540e-01
第1571次迭代：f(x_i)=2.063737155187764e-03, x_1=9.546458089948219e-01,x_2=9.110891112201115e-01
第1572次迭代：f(x_i)=2.059596644351421e-03, x_1=9.546206892098396e-01,x_2=9.112445535333412e-01
第1573次迭代：f(x_i)=2.055465991372488e-03, x_1=9.547368083028817e-01,x_2=9.112633467057365e-01
第1574次迭代：f(x_i)=2.051345179779488e-03, x_1=9.547116908426090e-01,x_2=9.114183561025794e-01
第1575次迭代：f(x_i)=2.047233247538679e-03, x_1=9.548275338113215e-01,x_2=9.114371324585600e-01
第1576次迭代：f(x_i)=2.043130180548223e-03, x_1=9.548024618988409e-01,x_2=9.115918189678681e-01
第1577次迭代：f(x_i)=2.039035378802768e-03, x_1=9.549180832871059e-01,x_2=9.116105503566976e-01
第1578次迭代：f(x_i)=2.034951462229175e-03, x_1=9.548930413206626e-01,x_2=9.117647077810273e-01
第1579次迭代：f(x_i)=2.030877687340709e-03, x_1=9.550084221842715e-01,x_2=9.117834896068872e-01
第1580次迭代：f(x_i)=2.026815683504159e-03, x_1=9.549833292420159e-01,x_2=9.119370309401511e-01
第1581次迭代：f(x_i)=2.022763245958112e-03, x_1=9.550983299254897e-01,x_2=9.119558515311791e-01
第1582次迭代：f(x_i)=2.018715751394890e-03, x_1=9.550733509939796e-01,x_2=9.121092523559897e-01
第1583次迭代：f(x_i)=2.014677684322703e-03, x_1=9.551882224212919e-01,x_2=9.121279808136379e-01
第1584次迭代：f(x_i)=2.010651492235717e-03, x_1=9.551631838301421e-01,x_2=9.122809038032674e-01
第1585次迭代：f(x_i)=2.006631671800195e-03, x_1=9.552777823660874e-01,x_2=9.122996156690175e-01
第1586次迭代：f(x_i)=2.002622725448512e-03, x_1=9.552527902472370e-01,x_2=9.124522205896620e-01
第1587次迭代：f(x_i)=1.998619628631477e-03, x_1=9.553670460958628e-01,x_2=9.124708683757434e-01
第1588次迭代：f(x_i)=1.994622569119906e-03, x_1=9.553422325982891e-01,x_2=9.126234297992222e-01
第1589次迭代：f(x_i)=1.990632799835857e-03, x_1=9.554562068065351e-01,x_2=9.126419401141203e-01
第1590次迭代：f(x_i)=1.986647508405861e-03, x_1=9.554315739325222e-01,x_2=9.127944555456033e-01
第1591次迭代：f(x_i)=1.982671114411865e-03, x_1=9.555454471406201e-01,x_2=9.128128606322646e-01
第1592次迭代：f(x_i)=1.978707570290705e-03, x_1=9.555207504590318e-01,x_2=9.129647746600055e-01
第1593次迭代：f(x_i)=1.974751626930288e-03, x_1=9.556342627471802e-01,x_2=9.129832108391626e-01
第1594次迭代：f(x_i)=1.970802582214874e-03, x_1=9.556096648670906e-01,x_2=9.131349928234697e-01
第1595次迭代：f(x_i)=1.966860272942168e-03, x_1=9.557230626095709e-01,x_2=9.131533316435483e-01
第1596次迭代：f(x_i)=1.962932353965560e-03, x_1=9.556984306456446e-01,x_2=9.133044170503947e-01
第1597次迭代：f(x_i)=1.959012771480505e-03, x_1=9.558113783805654e-01,x_2=9.133228342985293e-01
第1598次迭代：f(x_i)=1.955096723587804e-03, x_1=9.557868983697250e-01,x_2=9.134739720397593e-01
第1599次迭代：f(x_i)=1.951187851801951e-03, x_1=9.558998348119591e-01,x_2=9.134922387240270e-01
第1600次迭代：f(x_i)=1.947295504421454e-03, x_1=9.558752415088098e-01,x_2=9.136425963204613e-01
第1601次迭代：f(x_i)=1.943409567968437e-03, x_1=9.559877143786083e-01,x_2=9.136609492678830e-01
第1602次迭代：f(x_i)=1.939528550600671e-03, x_1=9.559633026017988e-01,x_2=9.138112618560752e-01
第1603次迭代：f(x_i)=1.935655667211507e-03, x_1=9.560756740029750e-01,x_2=9.138295121573623e-01
第1604次迭代：f(x_i)=1.931795674245479e-03, x_1=9.560512029078218e-01,x_2=9.139792300659094e-01
第1605次迭代：f(x_i)=1.927942767717743e-03, x_1=9.561632141977807e-01,x_2=9.139975132903075e-01
第1606次迭代：f(x_i)=1.924096711763345e-03, x_1=9.561388602001618e-01,x_2=9.141470106074698e-01
第1607次迭代：f(x_i)=1.920259183891526e-03, x_1=9.562506794724981e-01,x_2=9.141652392762639e-01
第1608次迭代：f(x_i)=1.916431489160099e-03, x_1=9.562263206825605e-01,x_2=9.143143256384654e-01
第1609次迭代：f(x_i)=1.912611054516453e-03, x_1=9.563378817961490e-01,x_2=9.143325346939933e-01
第1610次迭代：f(x_i)=1.908799838805330e-03, x_1=9.563135623677222e-01,x_2=9.144813151314642e-01
第1611次迭代：f(x_i)=1.904995083925983e-03, x_1=9.564249157288360e-01,x_2=9.144994786095619e-01
第1612次迭代：f(x_i)=1.901201589096069e-03, x_1=9.564006232083474e-01,x_2=9.146477523972525e-01
第1613次迭代：f(x_i)=1.897416213245475e-03, x_1=9.565116277390650e-01,x_2=9.146659443804460e-01
第1614次迭代：f(x_i)=1.893636577798887e-03, x_1=9.564874294947340e-01,x_2=9.148140930944052e-01
第1615次迭代：f(x_i)=1.889864102135164e-03, x_1=9.565983260882883e-01,x_2=9.148321881013695e-01
第1616次迭代：f(x_i)=1.886104633901689e-03, x_1=9.565740787618162e-01,x_2=9.149797465289471e-01
第1617次迭代：f(x_i)=1.882351812983177e-03, x_1=9.566846108335421e-01,x_2=9.149978789711665e-01
第1618次迭代：f(x_i)=1.878605604558512e-03, x_1=9.566604894480339e-01,x_2=9.151452153038023e-01
第1619次迭代：f(x_i)=1.874867995067392e-03, x_1=9.567708221062612e-01,x_2=9.151632993019131e-01
第1620次迭代：f(x_i)=1.871139320454205e-03, x_1=9.567467072730813e-01,x_2=9.153102258960111e-01
第1621次迭代：f(x_i)=1.867418602195303e-03, x_1=9.568567745873965e-01,x_2=9.153282962549766e-01
第1622次迭代：f(x_i)=1.863705618701654e-03, x_1=9.568327104762935e-01,x_2=9.154749160935173e-01
第1623次迭代：f(x_i)=1.860000438005023e-03, x_1=9.569425614632426e-01,x_2=9.154929475809396e-01
第1624次迭代：f(x_i)=1.856304339518514e-03, x_1=9.569185367791130e-01,x_2=9.156390613828566e-01
第1625次迭代：f(x_i)=1.852618327035145e-03, x_1=9.570282074884714e-01,x_2=9.156571571524809e-01
第1626次迭代：f(x_i)=1.848944495371614e-03, x_1=9.570040705363099e-01,x_2=9.158025190298289e-01
第1627次迭代：f(x_i)=1.845279877130348e-03, x_1=9.571134106168131e-01,x_2=9.158207172113265e-01
第1628次迭代：f(x_i)=1.841622693948560e-03, x_1=9.570892761728835e-01,x_2=9.159658016459945e-01
第1629次迭代：f(x_i)=1.837972092201394e-03, x_1=9.571983327260722e-01,x_2=9.159839162636512e-01
第1630次迭代：f(x_i)=1.834326693452829e-03, x_1=9.571743495471875e-01,x_2=9.161288506701236e-01
第1631次迭代：f(x_i)=1.830689962845101e-03, x_1=9.572832438418899e-01,x_2=9.161468995838219e-01
第1632次迭代：f(x_i)=1.827062392639360e-03, x_1=9.572592493536227e-01,x_2=9.162913606572982e-01
第1633次迭代：f(x_i)=1.823443112449660e-03, x_1=9.573678401413349e-01,x_2=9.163094179632025e-01
第1634次迭代：f(x_i)=1.819829633342428e-03, x_1=9.573439022368477e-01,x_2=9.164537787860134e-01
第1635次迭代：f(x_i)=1.816221681293935e-03, x_1=9.574522502822881e-01,x_2=9.164716927672950e-01
第1636次迭代：f(x_i)=1.812619314708126e-03, x_1=9.574284827965666e-01,x_2=9.166158920203185e-01
第1637次迭代：f(x_i)=1.809025620642687e-03, x_1=9.575366478768889e-01,x_2=9.166337522565955e-01
第1638次迭代：f(x_i)=1.805440314990852e-03, x_1=9.575128683207004e-01,x_2=9.167776054161242e-01
第1639次迭代：f(x_i)=1.801861477426930e-03, x_1=9.576208250818339e-01,x_2=9.167954255006473e-01
第1640次迭代：f(x_i)=1.798292476815661e-03, x_1=9.575970674564669e-01,x_2=9.169388717959017e-01
第1641次迭代：f(x_i)=1.794730135380794e-03, x_1=9.577047497489638e-01,x_2=9.169566866039534e-01
第1642次迭代：f(x_i)=1.791175649721385e-03, x_1=9.576810586648445e-01,x_2=9.170998261059138e-01
第1643次迭代：f(x_i)=1.787628542833484e-03, x_1=9.577885133156950e-01,x_2=9.171176115572068e-01
第1644次迭代：f(x_i)=1.784089680823475e-03, x_1=9.577648426418938e-01,x_2=9.172604689237200e-01
第1645次迭代：f(x_i)=1.780556567031510e-03, x_1=9.578721160708301e-01,x_2=9.172782011556638e-01
第1646次迭代：f(x_i)=1.777034413163026e-03, x_1=9.578484565654869e-01,x_2=9.174205809776371e-01
第1647次迭代：f(x_i)=1.773518793064353e-03, x_1=9.579554090452026e-01,x_2=9.174383332376413e-01
第1648次迭代：f(x_i)=1.770009705817984e-03, x_1=9.579318280878549e-01,x_2=9.175806030058409e-01
第1649次迭代：f(x_i)=1.766505633862407e-03, x_1=9.580386913354292e-01,x_2=9.175982547714776e-01
第1650次迭代：f(x_i)=1.763015388578897e-03, x_1=9.580150669513825e-01,x_2=9.177398793105479e-01
第1651次迭代：f(x_i)=1.759531003484956e-03, x_1=9.581215175854995e-01,x_2=9.177575996100121e-01
第1652次迭代：f(x_i)=1.756051339855283e-03, x_1=9.580980649230250e-01,x_2=9.178990648385928e-01
第1653次迭代：f(x_i)=1.752580772643856e-03, x_1=9.582043324769359e-01,x_2=9.179167342989658e-01
第1654次迭代：f(x_i)=1.749117401565313e-03, x_1=9.581808809271970e-01,x_2=9.180578102779590e-01
第1655次迭代：f(x_i)=1.745662278711558e-03, x_1=9.582868986462861e-01,x_2=9.180754640629719e-01
第1656次迭代：f(x_i)=1.742213423563187e-03, x_1=9.582634935714681e-01,x_2=9.182162491424835e-01
第1657次迭代：f(x_i)=1.738772552511513e-03, x_1=9.583693066614256e-01,x_2=9.182338640261336e-01
第1658次迭代：f(x_i)=1.735339260476544e-03, x_1=9.583459173893708e-01,x_2=9.183742986750445e-01
第1659次迭代：f(x_i)=1.731913229462514e-03, x_1=9.584515001832369e-01,x_2=9.183918883882367e-01
第1660次迭代：f(x_i)=1.728494766734469e-03, x_1=9.584281391231604e-01,x_2=9.185320431234354e-01
第1661次迭代：f(x_i)=1.725082403908646e-03, x_1=9.585335363469786e-01,x_2=9.185495846937383e-01
第1662次迭代：f(x_i)=1.721679795627928e-03, x_1=9.585101813009279e-01,x_2=9.186893520161645e-01
第1663次迭代：f(x_i)=1.718282707159476e-03, x_1=9.586153263513945e-01,x_2=9.187068805114783e-01
第1664次迭代：f(x_i)=1.714894206370011e-03, x_1=9.585920226260509e-01,x_2=9.188463575094554e-01
第1665次迭代：f(x_i)=1.711511231517024e-03, x_1=9.586969599179532e-01,x_2=9.188638501193553e-01
第1666次迭代：f(x_i)=1.708137852398967e-03, x_1=9.586736997148536e-01,x_2=9.190028452433803e-01
第1667次迭代：f(x_i)=1.704772352450676e-03, x_1=9.587782911536098e-01,x_2=9.190203742872030e-01
第1668次迭代：f(x_i)=1.701410590509368e-03, x_1=9.587551413156629e-01,x_2=9.191592460417728e-01
第1669次迭代：f(x_i)=1.698056921894135e-03, x_1=9.588596129357964e-01,x_2=9.191766940491441e-01
第1670次迭代：f(x_i)=1.694712285478041e-03, x_1=9.588364197890163e-01,x_2=9.193151311178638e-01
第1671次迭代：f(x_i)=1.691373801813999e-03, x_1=9.589406335439579e-01,x_2=9.193325703764814e-01
第1672次迭代：f(x_i)=1.688042794179338e-03, x_1=9.589174998952587e-01,x_2=9.194707159310174e-01
第1673次迭代：f(x_i)=1.684718366611867e-03, x_1=9.590214994029883e-01,x_2=9.194881240485201e-01
第1674次迭代：f(x_i)=1.681401975650581e-03, x_1=9.589984042574446e-01,x_2=9.196258699709168e-01
第1675次迭代：f(x_i)=1.678093212461002e-03, x_1=9.591021215913028e-01,x_2=9.196432826775928e-01
第1676次迭代：f(x_i)=1.674789689333156e-03, x_1=9.590790895653365e-01,x_2=9.197808561863515e-01
第1677次迭代：f(x_i)=1.671492767212639e-03, x_1=9.591826789426542e-01,x_2=9.197981934686544e-01
第1678次迭代：f(x_i)=1.668205797153508e-03, x_1=9.591596361299173e-01,x_2=9.199352002628566e-01
第1679次迭代：f(x_i)=1.664926731969908e-03, x_1=9.592630153125733e-01,x_2=9.199526203196204e-01
第1680次迭代：f(x_i)=1.661658141315706e-03, x_1=9.592398807406144e-01,x_2=9.200891085038485e-01
第1681次迭代：f(x_i)=1.658394785478671e-03, x_1=9.593429671511167e-01,x_2=9.201065396078630e-01
第1682次迭代：f(x_i)=1.655138535639945e-03, x_1=9.593199305117991e-01,x_2=9.202427211859262e-01
第1683次迭代：f(x_i)=1.651889801819752e-03, x_1=9.594227668290298e-01,x_2=9.202601414346918e-01
第1684次迭代：f(x_i)=1.648646840122514e-03, x_1=9.593997861168264e-01,x_2=9.203960388349736e-01
第1685次迭代：f(x_i)=1.645411660812080e-03, x_1=9.595024145956300e-01,x_2=9.204134265512701e-01
第1686次迭代：f(x_i)=1.642182920599313e-03, x_1=9.594794481811051e-01,x_2=9.205490619996437e-01
第1687次迭代：f(x_i)=1.638960244491070e-03, x_1=9.595819107256075e-01,x_2=9.205663956933058e-01
第1688次迭代：f(x_i)=1.635746641159353e-03, x_1=9.595589532623325e-01,x_2=9.207015793883903e-01
第1689次迭代：f(x_i)=1.632539733964363e-03, x_1=9.596611108019716e-01,x_2=9.207189318110826e-01
第1690次迭代：f(x_i)=1.629337871617021e-03, x_1=9.596382300687434e-01,x_2=9.208540156575682e-01
第1691次迭代：f(x_i)=1.626141393209918e-03, x_1=9.597401400339772e-01,x_2=9.208712436190382e-01
第1692次迭代：f(x_i)=1.622948737215534e-03, x_1=9.597174193246735e-01,x_2=9.210062969012422e-01
第1693次迭代：f(x_i)=1.619762630905537e-03, x_1=9.598192471810463e-01,x_2=9.210234282513584e-01
第1694次迭代：f(x_i)=1.616586919032233e-03, x_1=9.597964733218035e-01,x_2=9.211579514258714e-01
第1695次迭代：f(x_i)=1.613416941492567e-03, x_1=9.598979758650622e-01,x_2=9.211751131143537e-01
第1696次迭代：f(x_i)=1.610252290998801e-03, x_1=9.598753146965118e-01,x_2=9.213094416145976e-01
第1697次迭代：f(x_i)=1.607094833799938e-03, x_1=9.599766411580357e-01,x_2=9.213265562758646e-01
第1698次迭代：f(x_i)=1.603944718629052e-03, x_1=9.599539868939582e-01,x_2=9.214605147069032e-01
第1699次迭代：f(x_i)=1.600801314180740e-03, x_1=9.600550706230825e-01,x_2=9.214776173619156e-01
第1700次迭代：f(x_i)=1.597664071285678e-03, x_1=9.600324691173930e-01,x_2=9.216112980104091e-01
第1701次迭代：f(x_i)=1.594533701407054e-03, x_1=9.601333509516876e-01,x_2=9.216283677265419e-01
第1702次迭代：f(x_i)=1.591410220328479e-03, x_1=9.601107619723848e-01,x_2=9.217617920649697e-01
第1703次迭代：f(x_i)=1.588291882071935e-03, x_1=9.602114824145986e-01,x_2=9.217788080880120e-01
第1704次迭代：f(x_i)=1.585183032558798e-03, x_1=9.601889014091112e-01,x_2=9.219117890212897e-01
第1705次迭代：f(x_i)=1.582079910257635e-03, x_1=9.602893230903541e-01,x_2=9.219288231620909e-01
第1706次迭代：f(x_i)=1.578982388272600e-03, x_1=9.602668172980062e-01,x_2=9.220617066137958e-01
第1707次迭代：f(x_i)=1.575889320220222e-03, x_1=9.603671578922578e-01,x_2=9.220786459222673e-01
第1708次迭代：f(x_i)=1.572808143109247e-03, x_1=9.603446157723906e-01,x_2=9.222109239029206e-01
第1709次迭代：f(x_i)=1.569732396513323e-03, x_1=9.604445629496340e-01,x_2=9.222279312144512e-01
第1710次迭代：f(x_i)=1.566660192560258e-03, x_1=9.604221570876784e-01,x_2=9.223602675734778e-01
第1711次迭代：f(x_i)=1.563592565967791e-03, x_1=9.605218261884308e-01,x_2=9.223770928568824e-01
第1712次迭代：f(x_i)=1.560525588072280e-03, x_1=9.604996717540512e-01,x_2=9.225096537979874e-01
第1713次迭代：f(x_i)=1.557464781943649e-03, x_1=9.605992284020612e-01,x_2=9.225262895519506e-01
第1714次迭代：f(x_i)=1.554409501949383e-03, x_1=9.605771606953576e-01,x_2=9.226585573959576e-01
第1715次迭代：f(x_i)=1.551362220392046e-03, x_1=9.606764832438287e-01,x_2=9.226751793700215e-01
第1716次迭代：f(x_i)=1.548319514721232e-03, x_1=9.606544628593600e-01,x_2=9.228071751453469e-01
第1717次迭代：f(x_i)=1.545284769726573e-03, x_1=9.607535909611421e-01,x_2=9.228237630301743e-01
第1718次迭代：f(x_i)=1.542255502312409e-03, x_1=9.607315788350209e-01,x_2=9.229555075814915e-01
第1719次迭代：f(x_i)=1.539232320316900e-03, x_1=9.608305518242871e-01,x_2=9.229720412374479e-01
第1720次迭代：f(x_i)=1.536217340218844e-03, x_1=9.608085301222959e-01,x_2=9.231034302408792e-01
第1721次迭代：f(x_i)=1.533207248888762e-03, x_1=9.609072812619718e-01,x_2=9.231199446944802e-01
第1722次迭代：f(x_i)=1.530204905961709e-03, x_1=9.608852963174328e-01,x_2=9.232510691679816e-01
第1723次迭代：f(x_i)=1.527206938864519e-03, x_1=9.609838647090723e-01,x_2=9.232675443995204e-01
第1724次迭代：f(x_i)=1.524218071429445e-03, x_1=9.609619121253596e-01,x_2=9.233982217110688e-01
第1725次迭代：f(x_i)=1.521235301458560e-03, x_1=9.610601644611946e-01,x_2=9.234147273515362e-01
第1726次迭代：f(x_i)=1.518256718999130e-03, x_1=9.610383098958166e-01,x_2=9.235452951481814e-01
第1727次迭代：f(x_i)=1.515284170468289e-03, x_1=9.611364569540285e-01,x_2=9.235617219124712e-01
第1728次迭代：f(x_i)=1.512320724837784e-03, x_1=9.611145787851292e-01,x_2=9.236917621696831e-01
第1729次迭代：f(x_i)=1.509363864576672e-03, x_1=9.612123840013749e-01,x_2=9.237082333634699e-01
第1730次迭代：f(x_i)=1.506409967226395e-03, x_1=9.611906104412720e-01,x_2=9.238382724644241e-01
第1731次迭代：f(x_i)=1.503461473280167e-03, x_1=9.612883867445308e-01,x_2=9.238546257136475e-01
第1732次迭代：f(x_i)=1.500524320969437e-03, x_1=9.612665478672585e-01,x_2=9.239839789991232e-01
第1733次迭代：f(x_i)=1.497593547650919e-03, x_1=9.613640491378485e-01,x_2=9.240004523840203e-01
第1734次迭代：f(x_i)=1.494670956821297e-03, x_1=9.613421806442717e-01,x_2=9.241293960313112e-01
第1735次迭代：f(x_i)=1.491753590183092e-03, x_1=9.614394302703166e-01,x_2=9.241458678171470e-01
第1736次迭代：f(x_i)=1.488842405779743e-03, x_1=9.614176326869495e-01,x_2=9.242745351092730e-01
第1737次迭代：f(x_i)=1.485937529444126e-03, x_1=9.615146685515954e-01,x_2=9.242909859111426e-01
第1738次迭代：f(x_i)=1.483038548291035e-03, x_1=9.614929045830165e-01,x_2=9.244193967392400e-01
第1739次迭代：f(x_i)=1.480145260915751e-03, x_1=9.615897642285148e-01,x_2=9.244358073530341e-01
第1740次迭代：f(x_i)=1.477259266630774e-03, x_1=9.615680173147223e-01,x_2=9.245638611196362e-01
第1741次迭代：f(x_i)=1.474379005974702e-03, x_1=9.616646355599286e-01,x_2=9.245802657235153e-01
第1742次迭代：f(x_i)=1.471504445407536e-03, x_1=9.616429509499188e-01,x_2=9.247080495767322e-01
第1743次迭代：f(x_i)=1.468636316653129e-03, x_1=9.617393651175232e-01,x_2=9.247244290795446e-01
第1744次迭代：f(x_i)=1.465773967895441e-03, x_1=9.617177060609449e-01,x_2=9.248519626172371e-01
第1745次迭代：f(x_i)=1.462917090318537e-03, x_1=9.618139531508040e-01,x_2=9.248682980991195e-01
第1746次迭代：f(x_i)=1.460067718230549e-03, x_1=9.617923166487604e-01,x_2=9.249954041558123e-01
第1747次迭代：f(x_i)=1.457224996811600e-03, x_1=9.618882658621690e-01,x_2=9.250117638739885e-01
第1748次迭代：f(x_i)=1.454385579396899e-03, x_1=9.618667163698466e-01,x_2=9.251387682808797e-01
第1749次迭代：f(x_i)=1.451552373525270e-03, x_1=9.619625718462781e-01,x_2=9.251550464844305e-01
第1750次迭代：f(x_i)=1.448727442494215e-03, x_1=9.619409725169583e-01,x_2=9.252816627359527e-01
第1751次迭代：f(x_i)=1.445906649060429e-03, x_1=9.620366035445413e-01,x_2=9.252979276305104e-01
第1752次迭代：f(x_i)=1.443093193187524e-03, x_1=9.620150522327725e-01,x_2=9.254242846185821e-01
第1753次迭代：f(x_i)=1.440283950728987e-03, x_1=9.621104952509791e-01,x_2=9.254405175758493e-01
第1754次迭代：f(x_i)=1.437482715311261e-03, x_1=9.620889900005946e-01,x_2=9.255664357332305e-01
第1755次迭代：f(x_i)=1.434687953490434e-03, x_1=9.621841116331251e-01,x_2=9.255827063225223e-01
第1756次迭代：f(x_i)=1.431895895413229e-03, x_1=9.621626985026632e-01,x_2=9.257086320734382e-01
第1757次迭代：f(x_i)=1.429108752707624e-03, x_1=9.622576491075355e-01,x_2=9.257247553185283e-01
第1758次迭代：f(x_i)=1.426325779178683e-03, x_1=9.622363512085956e-01,x_2=9.258505660176560e-01
第1759次迭代：f(x_i)=1.423548591173213e-03, x_1=9.623311802801485e-01,x_2=9.258666237570681e-01
第1760次迭代：f(x_i)=1.420779164329572e-03, x_1=9.623098621630264e-01,x_2=9.259920345062995e-01
第1761次迭代：f(x_i)=1.418014793041181e-03, x_1=9.624044398043756e-01,x_2=9.260080944898689e-01
第1762次迭代：f(x_i)=1.415255941670689e-03, x_1=9.623831858198525e-01,x_2=9.261333096970925e-01
第1763次迭代：f(x_i)=1.412502094868050e-03, x_1=9.624776128862949e-01,x_2=9.261493198528663e-01
第1764次迭代：f(x_i)=1.409755997363529e-03, x_1=9.624563685796241e-01,x_2=9.262741223361358e-01
第1765次迭代：f(x_i)=1.407015499612704e-03, x_1=9.625505160424018e-01,x_2=9.262901499487111e-01
第1766次迭代：f(x_i)=1.404279224293940e-03, x_1=9.625293582192395e-01,x_2=9.264147832672681e-01
第1767次迭代：f(x_i)=1.401549041497419e-03, x_1=9.626233609014083e-01,x_2=9.264307586354009e-01
第1768次迭代：f(x_i)=1.398825513486636e-03, x_1=9.626021949410107e-01,x_2=9.265550596938932e-01
第1769次迭代：f(x_i)=1.396107022419670e-03, x_1=9.626959887853084e-01,x_2=9.265710163654584e-01
第1770次迭代：f(x_i)=1.393394756095633e-03, x_1=9.626748594378470e-01,x_2=9.266950688759821e-01
第1771次迭代：f(x_i)=1.390687142179496e-03, x_1=9.627684794766975e-01,x_2=9.267109889591264e-01
第1772次迭代：f(x_i)=1.387986842672441e-03, x_1=9.627473855169763e-01,x_2=9.268346162282253e-01
第1773次迭代：f(x_i)=1.385292952052683e-03, x_1=9.628407002483741e-01,x_2=9.268505682652749e-01
第1774次迭代：f(x_i)=1.382601663276781e-03, x_1=9.628196875208088e-01,x_2=9.269742083568914e-01
第1775次迭代：f(x_i)=1.379914888528862e-03, x_1=9.629129962914588e-01,x_2=9.269900372810304e-01
第1776次迭代：f(x_i)=1.377239106065372e-03, x_1=9.628919248529078e-01,x_2=9.271129147144247e-01
第1777次迭代：f(x_i)=1.374570212431779e-03, x_1=9.629848851551477e-01,x_2=9.271289036004728e-01
第1778次迭代：f(x_i)=1.371905602566448e-03, x_1=9.629638435696471e-01,x_2=9.272515394018981e-01
第1779次迭代：f(x_i)=1.369247218915888e-03, x_1=9.630566385548264e-01,x_2=9.272674883986358e-01
第1780次迭代：f(x_i)=1.366594459597740e-03, x_1=9.630356130903636e-01,x_2=9.273897841319934e-01
第1781次迭代：f(x_i)=1.363947960955999e-03, x_1=9.631281771515532e-01,x_2=9.274057275687347e-01
第1782次迭代：f(x_i)=1.361305570096494e-03, x_1=9.631071939036435e-01,x_2=9.275278824521961e-01
第1783次迭代：f(x_i)=1.358668044018590e-03, x_1=9.631996605070228e-01,x_2=9.275437513702366e-01
第1784次迭代：f(x_i)=1.356038828610500e-03, x_1=9.631786591934369e-01,x_2=9.276654126714712e-01
第1785次迭代：f(x_i)=1.353415134637747e-03, x_1=9.632708001706098e-01,x_2=9.276813257292952e-01
第1786次迭代：f(x_i)=1.350794134420446e-03, x_1=9.632499041560206e-01,x_2=9.278029869419709e-01
第1787次迭代：f(x_i)=1.348177905872242e-03, x_1=9.633418640414160e-01,x_2=9.278187654563560e-01
第1788次迭代：f(x_i)=1.345565029731918e-03, x_1=9.633210953659908e-01,x_2=9.279403115339071e-01
第1789次迭代：f(x_i)=1.342958383066126e-03, x_1=9.634129248160713e-01,x_2=9.279560335572444e-01
第1790次迭代：f(x_i)=1.340357827460422e-03, x_1=9.633921521090130e-01,x_2=9.280771840892980e-01
第1791次迭代：f(x_i)=1.337763511577553e-03, x_1=9.634837213110906e-01,x_2=9.280929172371930e-01
第1792次迭代：f(x_i)=1.335172420092494e-03, x_1=9.634630094625777e-01,x_2=9.282139873545229e-01
第1793次迭代：f(x_i)=1.332586191716489e-03, x_1=9.635545146437065e-01,x_2=9.282296301388643e-01
第1794次迭代：f(x_i)=1.330008705752112e-03, x_1=9.635337654221403e-01,x_2=9.283501534080536e-01
第1795次迭代：f(x_i)=1.327436714162101e-03, x_1=9.636250663442686e-01,x_2=9.283658819950724e-01
第1796次迭代：f(x_i)=1.324872821219868e-03, x_1=9.636042634112777e-01,x_2=9.284859345990375e-01
第1797次迭代：f(x_i)=1.322313574630804e-03, x_1=9.636952767757229e-01,x_2=9.285016892531898e-01
第1798次迭代：f(x_i)=1.319758377405051e-03, x_1=9.636745638336112e-01,x_2=9.286216474590536e-01
第1799次迭代：f(x_i)=1.317207719915275e-03, x_1=9.637654847360677e-01,x_2=9.286373272967251e-01
第1800次迭代：f(x_i)=1.314665267989056e-03, x_1=9.637447524726989e-01,x_2=9.287567997773237e-01
第1801次迭代：f(x_i)=1.312127952152195e-03, x_1=9.638353531400335e-01,x_2=9.287725231755252e-01
第1802次迭代：f(x_i)=1.309593398591086e-03, x_1=9.638147248150842e-01,x_2=9.288919987361528e-01
第1803次迭代：f(x_i)=1.307063246748191e-03, x_1=9.639051495184069e-01,x_2=9.289075888441329e-01
第1804次迭代：f(x_i)=1.304536559802176e-03, x_1=9.638846450927551e-01,x_2=9.290269507423687e-01
第1805次迭代：f(x_i)=1.302015648967286e-03, x_1=9.639749418351278e-01,x_2=9.290424853382829e-01
第1806次迭代：f(x_i)=1.299500820256974e-03, x_1=9.639544339812530e-01,x_2=9.291614613238057e-01
第1807次迭代：f(x_i)=1.296991775772926e-03, x_1=9.640444761930969e-01,x_2=9.291770062959470e-01
